accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 270297,5,6,63.8,107.19999999999999,SAMN22346332,ILLUMINA,PRJNA481365;PRJNA609577;PRJNA771871,cultivar,B96,46.0,133.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B96,41:2504B Amargo Inbred Line,ARG,5.0,False,97.6,call variants now
PI 587131,4,26,76.6,100.99999999999999,SAMEA5313307,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA272385;PRJNA565870,cultivar,HP301,42.0,54.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,HP301,Supergold Popcorn,USA,5.0,False,94.3,call variants now
PI 587152,3,16,28.3,46.300000000000004,SAMN27189590,ILLUMINA,;PRJNA565870;PRJNA822510,cultivar,W64A,39.0,59.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,W64A,WF9 x CI187-2,USA,5.0,True,91.8,call variants now
PI 587137,3,26,75.7,80.3,SAMEA5313315,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA565870,cultivar,Ms71,37.0,61.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Ms71,A619 x R168,USA,5.0,True,90.2,call variants now
PI 594047,1,14,34.3,34.3,SAMEA8718246,PACBIO_SMRT,PRJEB44462,cultivar,B104,35.0,54.0,Cultivar,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B104,BS13(S)C5-13-1-1-2-1-1-1,USA,5.0,True,88.6,call variants now
PI 690330,2,23,74.4,76.5,SAMEA5313317,ILLUMINA;PACBIO_SMRT,;PRJEB32404,cultivar,NC358,34.0,55.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,NC358,Recurrent selection from an all-tropical hybrid synthetic TROPHY,USA,5.0,True,87.8,call variants now
PI 506246,2,23,71.7,73.7,SAMEA5313322,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,Tzi8,33.0,103.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Tzi 8,TZB/TZSR,NGA,5.0,False,86.9,call variants now
PI 595541,2,25,78.0,80.4,SAMEA5313303,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,CML247,32.0,86.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 247,Pool 24: (Pool 24 FS119*FS54)-6-4-1-1-BB-f .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.,MEX,5.0,False,86.1,call variants now
PI 595550,2,29,88.2,90.5,SAMEA5313304,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,CML277,32.0,111.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 277,"Population 43: Ferke 8243-51-1-1-B-##-1-BB-# .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines (1 ETO Blanco S1 & 15 S1s of Tuxpe?o collection, formed in 1963).",MEX,5.0,False,86.1,call variants now
PI 690321,3,21,70.7,79.0,SAMEA5313305,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML322,31.0,63.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 322,Recy W.: 89[L/LMBR]17-B-5-3-1-4-B*4,MEX,5.0,True,85.3,call variants now
PI 587129,5,5,16.2,40.1,SAMN03281114,ILLUMINA,PRJNA1171432;PRJNA272385;PRJNA609577,cultivar,H99,38.0,47.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,H99,Illinois Synthetic 60C,USA,5.0,True,85.3,call variants now
PI 690318,2,24,74.2,78.3,SAMEA5313300,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,CML69,30.0,93.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 69,"Population 36: P 36C5F37-2-1-1-b1#b1-b1#b1-b1 .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population, 20 families from Pool 22, and 26 families from Pool 26.",MEX,5.0,True,84.5,call variants now
PI 693339,18,42,169.0,453.6,SAMN11665429,ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT,PRJNA1247151;PRJNA332940;PRJNA543394;PRJNA609577;PRJNA628111;PRJNA635654,cultivar,A188,30.0,71.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A188,4-29(Silver King) x 46(N.W. Dent)4^4  N.W. Dent stands for open pollinated variety Northwestern Dent.,USA,5.0,True,84.5,call variants now
PI 690370,1,3,63.0,63.0,SAMN02821436,ILLUMINA,PRJNA251186,sample_title,Zea mays NC230,30.0,36.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,NC230,K55 x Yellow line or hybrid,USA,5.0,False,84.5,call variants now
Ames 35266,3,5,48.2,50.300000000000004,SAMN02946043,ILLUMINA;OXFORD_NANOPORE,PRJEB59044;PRJNA251204;PRJNA530187,cultivar,Mo44,29.0,49.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Mo44, Mo22 x Pioneer Mexican Synthetic 17,USA,5.0,False,83.7,call variants now
PI 690322,3,24,68.9,80.5,SAMEA5313306,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML333,29.0,60.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 333,Population 590: P 590C3F373-1-1-7-B-#-5-2-B-#-B,MEX,5.0,True,83.7,call variants now
PI 693332,2,3,33.3,35.099999999999994,SAMEA115703369,ILLUMINA;PACBIO_SMRT,PRJEB67812;PRJNA684330,cultivar,CM174,29.0,32.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CM174,V3 x B14^2,CAN,5.0,False,83.7,call variants now
PI 690320,4,33,85.3,158.89999999999998,SAMEA5313302,BGISEQ;ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT,;PRJEB31061;PRJNA1170466;PRJNA644582,cultivar,CML228,29.0,111.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 228,EV88SUWAN1-SR(BC5)-201-1-1-b-b,MEX,5.0,True,83.7,call variants now
PI 690319,3,26,85.4,93.00000000000001,SAMEA5313301,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML103,29.0,90.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 103,"Population 44: P 44C4HC101-3-#1-1-B-### .  Population 44 is also named (AED) Tuxpeno and its compnents are AED and Tuxpe?o components.  AED (American Early Dent) was Boone County White from North-Carolina, before it was brought to Egypt in 1920.  The other component is an early cycle of short plant selections from Tuxpeno-1.",MEX,5.0,True,83.7,call variants now
PI 600959,4,7,60.3,121.9,SAMN15464443,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA251182;PRJNA565870;PRJNA644582;PRJNA684330,cultivar,LH145,36.0,55.0,Cultivar,Maize.Group.PVP,LH145,A632Ht x CM105,USA,4.0,True,83.4,call variants now
PI 601229,2,4,58.8,59.9,SAMN02821443,ILLUMINA,PRJNA251173;PRJNA565870,cultivar,PHG83,36.0,93.0,Cultivar,Maize.Group.PVP,PHG83,"814 X 207 specifically 814/207)X44XXXX.  The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814.",USA,4.0,True,83.4,call variants now
PI 550490,2,2,30.0,31.1,SAMN15464399,ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,ND246,28.0,36.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,ND246,W755/W771,USA,5.0,False,82.9,call variants now
PI 601009,2,4,61.0,62.6,SAMN02821397,ILLUMINA,PRJNA251121;PRJNA530187,cultivar,PHB47,35.0,592.0,Cultivar,Maize.Group.PVP,PHB47,B37 X SD105 specifically B37<3-XX#-SD105-#)F21323X11X.  B37 is a public inbred line developed from Iowa Stiff Stalk Synthetic at Iowa State University.  SD105 is an early public inbred line developed at South Dakota State University.,USA,4.0,False,82.6,call variants now
PI 601080,3,6,62.7,119.0,SAMN02822385,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA251175;PRJNA565870;PRJNA644582,cultivar,CR1HT,35.0,50.0,Cultivar,Maize.Group.PVP,CR1HT,W117Ht X Mo17Ht,USA,4.0,True,82.6,call variants now
PI 600957,3,3,22.7,27.4,SAMN05446035,ILLUMINA,PRJNA332948;PRJNA565870;PRJNA684330,cultivar,LH74,35.0,65.0,Cultivar,Maize.Group.PVP,LH74,A632 X B73 .  A632 is a public inbred line released by the University of Minnesota.  B73 is a public inbred line released by Iowa State University.,USA,4.0,True,82.6,call variants now
PI 601079,5,8,82.7,169.0,SAMEA115703357,COMPLETE_GENOMICS;ILLUMINA;PACBIO_SMRT,PRJEB67812;PRJNA1142968;PRJNA251136;PRJNA381642;PRJNA565870,cultivar,LH123Ht,35.0,68.0,Cultivar,Maize.Group.PVP,LH123HT,Pioneer 3535 hybrid,USA,4.0,True,82.6,call variants now
PI 587154,1,1,14.5,14.5,SAMN03281113,ILLUMINA,PRJNA272385,cultivar,W153R,37.0,199.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,W153R,Rec. I.153,USA,5.0,True,82.0,call variants now
PI 601190,2,3,65.3,67.1,SAMN15464435,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,Q381,34.0,48.0,Cultivar,Maize.Group.PVP,Q381,One off-type plant in a planting of Pioneer 3369 hybrid test plot planting was selected an selfed.,USA,4.0,False,81.8,call variants now
PI 601322,5,5,91.9,124.20000000000002,SAMEA112904662,ILLUMINA;PACBIO_SMRT,PRJEB59044;PRJNA381642;PRJNA530187;PRJNA565870;PRJNA684330,cultivar,PHZ51,34.0,603.0,Cultivar,Maize.Group.PVP,PHZ51,"814 (PH814) x 848 (PH848) specifically 814/848)X1111X.  The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814.  Varieties SRS303, OH43, OS420, OS426, MINN49, IDT, AR4, I205, SRS303, and LF51 contributed to the genotype in the derivation of PH848.",USA,4.0,True,81.8,call variants now
PI 601209,2,2,33.7,34.5,SAMN15464452,ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,MBNA,34.0,74.0,Cultivar,Maize.Group.PVP,MBNA,Mo17-H X MDA-28 .  The pedigree of Mo17-H is (187-2 X C103/Ht).  The pedigree of MDA-28 is (BPA X EOOM Comp).,USA,4.0,False,81.8,call variants now
PI 601171,2,4,63.6,64.4,SAMN02821611,ILLUMINA,PRJNA251181;PRJNA565870,cultivar,LH93,34.0,51.0,Cultivar,Maize.Group.PVP,LH93,"BS11(FR)C3 .  BS11(FR)C3 is an Iowa State University population developed by 3 cycles of reciprocal full-sib selection from Pioneer Two-ear Composite, with Iowa Two-ear Synthetic #1 as the tester.",USA,4.0,True,81.8,call variants now
PI 644101,2,2,27.6,28.900000000000002,SAMN06685738,ILLUMINA,PRJNA381642;PRJNA565870,cultivar,LH1,34.0,97.0,Cultivar,Maize.Group.PVP,LH1,(B37 x 644) X B37.  The line was produced by crossing B37 X 644 then backcrossing to B37 followed by seven generations of selfing and selection for plant type and yield.  B37 is a public line developed at Iowa State University.  644 is a Holden's private line not related to any other line.,USA,4.0,False,81.8,call variants now
PI 587148,1,1,14.7,14.7,SAMN18698658,ILLUMINA,PRJNA339461,cultivar,CI66,36.0,104.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CI 66,L97 X K55 (2),USA,5.0,False,81.4,call variants now
PI 601270,3,5,59.6,68.3,SAMN02821431,ILLUMINA,PRJNA1170466;PRJNA251166;PRJNA684330,cultivar,PHG29,33.0,46.0,Cultivar,Maize.Group.PVP,PHG29,207 X (207 X 806) specifically  207<2 806) 8123225X .  Both 207 and 806 are Pioneer proprietary inbreds.,USA,4.0,False,80.9,call variants now
PI 601300,2,2,34.9,35.9,SAMN06685743,ILLUMINA,PRJNA381642;PRJNA565870,cultivar,4676A,33.0,61.0,Cultivar,Maize.Group.PVP,4676A,1067-1 X (B-line Composite) .  B-line Composite was a synthetic constructed by intermating about 35 cornbelt-adapted inbred lines.,USA,4.0,False,80.9,call variants now
PI 601318,3,5,61.2,86.10000000000001,SAMN02821729,ILLUMINA,PRJNA251167;PRJNA381642;PRJNA565870,cultivar,PHG47,33.0,72.0,Cultivar,Maize.Group.PVP,PHG47,041 X MKSDTE C10 specifically 041/MKSDTE)3221112. 041 is a proprietary Pioneer inbred line.  MKSDTE C10 is a broad based breeding population that has undergone 10 cycles of recurrent selection.,USA,4.0,True,80.9,call variants now
PI 601319,3,6,65.7,123.5,SAMN15464431,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA251193;PRJNA565870;PRJNA644582,cultivar,PHG72,33.0,46.0,Cultivar,Maize.Group.PVP,PHG72,891 X 207 specifically 891/207)X4123X,USA,4.0,False,80.9,call variants now
PI 601321,6,8,63.5,97.19999999999999,SAMN02822326,ILLUMINA,PRJNA251135;PRJNA381642;PRJNA565870;PRJNA609577,cultivar,PHJ40,33.0,72.0,Cultivar,Maize.Group.PVP,PHJ40,B09 X B36 specifically B09/B36)X4122241X,CAN,4.0,True,80.9,call variants now
PI 601467,3,4,62.1,64.2,SAMN15464433,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582;PRJNA684330,cultivar,PHK05,31.0,72.0,Cultivar,Maize.Group.PVP,PHK05,"CM7 X 051. Specifically CM7/051)XA51111XXXXX .  CM7 is a public Canadian line developed at Morden, Manitoba and 051 is a proprietary Pioneer line.",CAN,4.0,False,79.3,call variants now
PI 601402,2,2,25.4,26.7,SAMN05445934,ILLUMINA,PRJNA332942;PRJNA565870,cultivar,LH146Ht,31.0,34.0,Cultivar,Maize.Group.PVP,LH146Ht,"(B73 X CM105) X CM105.  B73 is a public line released by Iowa State University.  CM105 has the pedigree V3 X B14(3) and is a public line developed by the Canadian Agricultural Research Station at Morden, Manitoba, Canada released in 1970",USA,4.0,True,79.3,call variants now
PI 601469,2,3,68.2,68.9,SAMN15464434,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,PHR25,31.0,57.0,Cultivar,Maize.Group.PVP,PHR25,"B83 X 207 specifically B83/207)X242211111X.  Both B83 and 207 are proprietary lines of Pioneer Hi-Bred International, Inc.",CAN,4.0,False,79.3,call variants now
PI 601495,2,3,57.0,57.8,SAMN15464436,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,PHK42,31.0,56.0,Cultivar,Maize.Group.PVP,PHK42,207 X (207 X 806) specifically  207<2806)C031344X .  Both 207 and 806 are Pioneer proprietary inbreds.,USA,4.0,False,79.3,call variants now
PI 601403,2,4,54.9,57.3,SAMN02822347,ILLUMINA,PRJNA251187;PRJNA565870,cultivar,LH156,31.0,51.0,Cultivar,Maize.Group.PVP,LH156,Va85 X Pa91,USA,4.0,False,79.3,call variants now
PI 601497,4,9,56.1,59.2,SAMN02821794,ILLUMINA;OXFORD_NANOPORE,PRJEB59044;PRJNA251176;PRJNA530187;PRJNA565870,cultivar,PHN11,31.0,58.0,Cultivar,Maize.Group.PVP,PHN11,207 X (207 X 806) specifically  207<2806)A72212X .  Both 207 and 806 are Pioneer proprietary inbreds.,USA,4.0,False,79.3,call variants now
PI 601496,3,3,24.9,30.999999999999996,SAMN05445940,ILLUMINA,PRJNA332955;PRJNA565870;PRJNA684330,cultivar,PHK76,31.0,33.0,Cultivar,Maize.Group.PVP,PHK76,AD18 X B02 specifically AD18/B02)X4424XX,USA,4.0,True,79.3,call variants now
PI 583350,1,3,64.4,64.4,SAMN02821799,ILLUMINA,PRJNA251172,sample_title,Zea mays Mo45,23.0,28.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Mo45,Race Negro de Tierra Caliente (collection GUA III from Guatemala) among about 600 collections crossed to a D2 1 tester,USA,5.0,False,78.8,call variants now
PI 601405,2,4,57.9,58.6,SAMN02822376,ILLUMINA,PRJNA251180;PRJNA565870,cultivar,LH85,30.0,31.0,Cultivar,Maize.Group.PVP,LH85,Pioneer 3978 hybrid,USA,4.0,True,78.5,call variants now
PI 601785,3,4,70.6,74.5,SAMN15464464,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582;PRJNA684330,cultivar,PHP60,30.0,48.0,Cultivar,Maize.Group.PVP,PHP60,"AT2 X 805 specifically AT2/805)XX#A211211X.  AT2 and 805 are proprietary inbred lines of Pioneer Hi-Bred International, Inc.",USA,4.0,False,78.5,call variants now
PI 601569,2,3,69.9,71.10000000000001,SAMN15464455,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,PHN47,30.0,57.0,Cultivar,Maize.Group.PVP,PHN47,207 X PHB60 specifically 207/PHB60 specifically 207/PHB60)X9211X,USA,4.0,False,78.5,call variants now
PI 601501,3,9,59.7,60.900000000000006,SAMN02822397,ILLUMINA;OXFORD_NANOPORE,PRJEB59044;PRJNA251134;PRJNA530187,cultivar,PHW65,30.0,58.0,Cultivar,Maize.Group.PVP,PHW65,"861 X 595 specifically 861/595)X8211131X .  Variety 595 was derived from pedigree selection from PHAN0 X 082. Variety PHAN0 was derived from Female Composite Open Pollinated. The open pollinated means that after the bridging crosses were made it was open pollinated. Variety 082 was derived from OH07 and an inbred derived from Midland Yellow Dent from Kansas.  Variety 595 has a relative genotypic contribution from 50% Female Composite, 25% Midland Yellow Dent, 12.5% Illinois Long Ear, and 12.5% Illinois Two Ear.",USA,4.0,True,78.5,call variants now
PI 601611,4,5,57.3,66.3,SAMN15464457,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA1170466;PRJNA565870;PRJNA644582;PRJNA684330,cultivar,S8324,30.0,32.0,Cultivar,Maize.Group.PVP,S8324,"(CH593-9 X B73)S2 X B73 .  CH593-9 is a public line developed and released by the Agriculture Canada Harrow Station, originating from the cross 51E x CC5. B73 is a public inbred developed and released by Iowa State University, originating from Iowa Stiff Stalk Synthetic.",USA,4.0,False,78.5,call variants now
PI 601689,2,3,62.0,62.7,SAMN15464460,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,WIL500,30.0,71.0,Cultivar,Maize.Group.PVP,WIL500,"82C25-567-3-3-1-1-1. Wilson proprietary exotic population 82C25 was formed by random mating Abati 2, Morgan Rendidor, Holandesa, Precoz Simon Colorado Manfredi from Argentina; 56 inbred lines with Helminthosporium turcicum resistance from the United States; Amarillo Bajio white segregates from Mexico; Cuba 11J and Cuba 16 from Cuba; Eto Blanco from Colombia; Antigua X Republica Dominica from the Caribbean; and native Nicaraguan unnamed varieties.",USA,4.0,False,78.5,call variants now
PI 543842,1,1,21.4,21.4,SAMN05446036,ILLUMINA,PRJNA332954,cultivar,PHK56,30.0,45.0,Cultivar,Maize.Group.PVP,PHK56,PHG47 X PHG35 specifically PHG47/PHG35)X9312X,USA,4.0,False,78.5,call variants now
PI 601726,2,3,61.8,63.0,SAMN15464461,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,L127,30.0,32.0,Cultivar,Maize.Group.PVP,L 127,Pioneer 3901 hybrid X W117,FRA,4.0,False,78.5,call variants now
PI 601727,2,3,55.6,56.300000000000004,SAMN15464462,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,L135,30.0,34.0,Cultivar,Maize.Group.PVP,L 135,Pioneer 3901 hybrid X W117,FRA,4.0,False,78.5,call variants now
PI 559949,4,5,59.3,71.4,SAMN15464449,BGISEQ;ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT,PRJEB59044;PRJNA530187;PRJNA565870;PRJNA644582,cultivar,PHT69,30.0,59.0,Cultivar,Maize.Group.PVP,PHT69,PHR73 X PHJ40 specifically PHR73/PHJ40)XA1K44K21K531X,USA,4.0,False,78.5,call variants now
PI 543845,1,1,19.7,19.7,SAMN05442948,ILLUMINA,PRJNA332960,cultivar,PHP38,30.0,118.0,Cultivar,Maize.Group.PVP,PHP38,G39 X PHK29 specifically G39/PHK29)XZ3K3K2X,USA,4.0,False,78.0,call variants now
PI 578037,1,1,20.0,20.0,SAMN05445941,ILLUMINA,PRJNA332956,cultivar,PHKM5,29.0,53.0,Cultivar,Maize.Group.PVP,PHKM5,PHK70 X PHG96 specifically PHK70/PHG96)X8214211314,USA,4.0,False,77.7,call variants now
PI 578031,1,1,23.4,23.4,SAMN05445938,ILLUMINA,PRJNA332951,cultivar,PHAA0,29.0,53.0,Cultivar,Maize.Group.PVP,PHAA0,PHW03 X PHJ40 specifically PHW03/PHJ40)X72242331,USA,4.0,False,77.7,call variants now
PI 564754,2,2,21.8,26.0,SAMN05446031,COMPLETE_GENOMICS;ILLUMINA,PRJNA1142968;PRJNA332939,cultivar,3IIH6,29.0,77.0,Cultivar,Maize.Group.PVP,3IIH6,Pioneer 3737 hybrid,USA,4.0,False,77.7,call variants now
PI 539930,2,2,35.0,36.8,SAMN15464445,ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,RS710,29.0,32.0,Cultivar,Maize.Group.PVP,RS 710,1202 X 1250 .  1202 is PAG 1202 which was improved PAG 330 for stalk quality using WF9 as donor.  1250 is A641 which is ND203 X B14.,FRA,4.0,False,77.7,call variants now
PI 543841,1,1,21.4,21.4,SAMN05442976,ILLUMINA,PRJNA332953,cultivar,PHK46,29.0,44.0,Cultivar,Maize.Group.PVP,PHK46,PHG65 X PH207 specifically PHG65/PH207)x1212,USA,4.0,False,77.7,call variants now
PI 578215,1,1,22.2,22.2,SAMN05442977,ILLUMINA,PRJNA332950,cultivar,NP899,29.0,29.0,Cultivar,Maize.Group.PVP,NP899,Pioneer 3737 hybrid,USA,4.0,False,77.7,call variants now
PI 557563,1,1,19.7,19.7,SAMN05442978,ILLUMINA,PRJNA332945,cultivar,LH198,29.0,101.0,Cultivar,Maize.Group.PVP,LH198,LH132 X (LH132 X B84),USA,4.0,False,77.2,call variants now
PI 595561,3,29,86.3,95.99999999999999,SAMEA5313299,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML52,21.0,51.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 52,Population 79: Sta.Rosa 8079-22-2-2-##,MEX,5.0,False,77.1,call variants now
PI 154387,4,7,24.3,39.5,SAMEA117395509,ILLUMINA;PACBIO_SMRT,PRJEB66502;PRJNA609577,cultivar,K64,21.0,25.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,K64,Pride of Saline,USA,5.0,False,77.1,call variants now
PI 555650,2,3,59.3,60.699999999999996,SAMN15464448,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,LIBC4,28.0,45.0,Cultivar,Maize.Group.PVP,LIBC 4,((MBNS X (A selection from the hybrid 3901)) X (The same selection from Pioneer 3901 hybrid),USA,4.0,False,76.9,call variants now
PI 576169,1,1,19.4,19.4,SAMN05445935,ILLUMINA,PRJNA332943,cultivar,LH168,29.0,29.0,Cultivar,Maize.Group.PVP,LH168,LH82 X LH105,USA,4.0,False,76.8,call variants now
PI 587155,2,3,62.9,64.0,SAMN15464401,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,W182bn,35.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,W182BN,(WD x W22) Outcross,USA,3.0,False,76.6,call variants now
PI 546481,2,2,19.2,24.7,SAMN05445515,COMPLETE_GENOMICS;ILLUMINA,PRJNA1142968;PRJNA332941,cultivar,FBLL,29.0,66.0,Cultivar,Maize.Group.PVP,FBLL,5B2C-A X PB80 .  5B2C-A derives from (B73''CM105).  PB80 derives from (B73''1067-1).,USA,4.0,False,76.5,call variants now
PI 631363,3,5,22.5,28.900000000000002,SAMN35169194,ILLUMINA,PRJNA1170466;PRJNA565870;PRJNA974168,cultivar,PH4CV,27.0,27.0,Cultivar,Maize.Group.PVP,PH4CV,PH7V0/PHBE2)X51221X,USA,4.0,False,76.0,call variants now
PI 601466,3,3,17.0,21.9,SAMN05446034,ILLUMINA,PRJNA332947;PRJNA565870;PRJNA684330,cultivar,LH59,31.0,49.0,Cultivar,Maize.Group.PVP,LH59,"(Mo17 X H99) X LH53 . LH53 is a proprietary line of Holdens and the pedigree is ""Mo17 HI"".
",USA,4.0,True,74.8,call variants now
PI 550443,2,2,31.2,34.7,SAMN12362187,ILLUMINA,PRJNA481365;PRJNA556665,cultivar,B49,30.0,55.0,Breeding material,Maize.Group.Ames.Panel.2010,B49,A277/41.2504B,USA,3.0,False,72.5,call variants now
PI 608774,2,3,96.8,124.5,SAMN22346333,ILLUMINA,PRJNA481365;PRJNA771871,cultivar,B75,14.0,19.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B75,B75 is a selection from Iowa Corn Borer Synthetic No. 3 [BSCB3 (PI 550450)].,USA,5.0,False,71.4,call variants now
PI 601683,3,4,60.5,67.30000000000001,SAMN15464459,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA1170466;PRJNA565870;PRJNA644582,cultivar,CR14,21.0,24.0,Cultivar,Maize.Group.PVP,CR14,A synthetic composed of high yielding selections derived from the selfed hybrid (B73Ht X CM105) and the selfed hybrid (B73Ht X CQ187),USA,4.0,False,71.1,call variants now
NSL 30073,2,2,22.4,27.299999999999997,SAMN05445946,ILLUMINA,PRJNA332965;PRJNA684330,cultivar,W37A,28.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,W37A,See Hansey et.al. 2011,USA,3.0,True,70.9,call variants now
PI 608767,2,4,60.8,61.9,SAMN02822394,ILLUMINA,PRJNA251168;PRJNA565870,cultivar,B84,13.0,18.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B84,B84 is a selection from Iowa BSSS(HT)C7 [renamed BS13(S2)C0] that was tested as BS13(S2)CO-45-6-2-1-1.,USA,5.0,True,70.6,call variants now
PI 548803,2,4,50.9,72.3,SAMEA115703355,ILLUMINA;PACBIO_SMRT,PRJEB67812;PRJNA332961,cultivar,PHR03,20.0,20.0,Cultivar,Maize.Group.PVP,PHR03,PHT19 X PHG84 specifically PHT19/PHG84)X131331X,USA,4.0,False,70.3,call variants now
PI 601778,2,2,12.9,14.8,SAMN44075505,ILLUMINA,PRJNA1170466;PRJNA565870,cultivar,PHM10,31.0,35.0,Cultivar,Maize.Group.PVP,PHM10,G39 X 207 specifically G39/207)X53331X . Both G39 and 207 are proprietary inbreds of Pioneer.,USA,4.0,False,68.7,call variants now
PI 690595,1,1,6.0,6.0,SAMN44075697,ILLUMINA,PRJNA1170466,cultivar,CML220,31.0,62.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 220,[EV8730-SR(BC6)]-324-1-1-2-#-b,MEX,5.0,True,64.3,call variants (moderate depth)
