Name,name_base,SRA_ID,BioProject,reason
32,32,SRR11302120,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ye107,Ye107,SRR11302122,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
S7913,S7913,SRR11302132,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
B12,B12,SRR11302133,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ay420,Ay420,SRR11302134,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_27,WIL_27,SRR11302136,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_28,WIL_28,SRR11302137,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_26,WIL_26,SRR11302138,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_12,WIL_12,SRR11302139,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_13,WIL_13,SRR11302140,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_9,WIL_9,SRR11302141,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_10,WIL_10,SRR11302142,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_4,WIL_4,SRR11302143,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ji53,Ji53,SRR11302145,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ye502,Ye502,SRR11302147,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_1,WIL_1,SRR11302148,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_2,WIL_2,SRR11302149,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Shuang741,Shuang741,SRR11302151,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
3H_2,3H_2,SRR11302152,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
FusheA,FusheA,SRR11302154,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
M9,M9,SRR11302155,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Yu82,Yu82,SRR11302156,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
ZK11M,ZK11M,SRR11302159,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Tian4,Tian4,SRR11302186,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
27_263,27_263,SRR11302191,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
