sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMN17776928,1,11742613800,ILLUMINA,WGS,PRJNA684330,5.1,PI 601576,31.0,False,Maize.Group.PVP,PHW79,True
SAMN17776930,1,17866521000,ILLUMINA,WGS,PRJNA684330,7.8,PI 198895,29.0,False,Maize.Group.Ames.Panel.2010,4F-285 TX 15,True
SAMN17776931,1,17204423100,ILLUMINA,WGS,PRJNA684330,7.5,Ames 22441,18.0,False,Maize.Group.Ames.Panel.2010,CH157,True
SAMN17776932,1,18692624400,ILLUMINA,WGS,PRJNA684330,8.1,,,False,,,False
SAMN17776946,1,12793285500,ILLUMINA,WGS,PRJNA684330,5.6,,,False,,,False
SAMN17776949,1,18243361800,ILLUMINA,WGS,PRJNA684330,7.9,,,False,,,False
SAMN17776952,1,19147392600,ILLUMINA,WGS,PRJNA684330,8.3,,,False,,,False
SAMN17776953,1,17206247400,ILLUMINA,WGS,PRJNA684330,7.5,Ames 28361,27.0,False,Maize.Group.Ames.Panel.2010,Mo402,True
SAMN17776954,1,13536153300,ILLUMINA,WGS,PRJNA684330,5.9,PI 601745,31.0,False,Maize.Group.PVP,4N506,True
SAMN17776957,1,13443434100,ILLUMINA,WGS,PRJNA684330,5.8,Ames 34521,,False,,,True
SAMN17776960,1,12114359100,ILLUMINA,WGS,PRJNA684330,5.3,,,False,,,False
SAMN17776963,1,20461785300,ILLUMINA,WGS,PRJNA684330,8.9,PI 641266,16.0,False,Maize.Group.Ames.Panel.2010,TZEEI 21,True
SAMN17776969,1,27528613800,ILLUMINA,WGS,PRJNA684330,12.0,,,False,,,False
SAMN17776970,1,16428351300,ILLUMINA,WGS,PRJNA684330,7.1,,,False,,,False
SAMN17776982,1,13234023000,ILLUMINA,WGS,PRJNA684330,5.8,PI 595547,19.0,False,Maize.Group.Ames.Panel.2010,CML 271,True
SAMN17776984,1,19741183200,ILLUMINA,WGS,PRJNA684330,8.6,,,False,,,False
